valid_time,u10,v10,d2m,t2m,blh,cbh,sp,tcc,tp,latitude,longitude
2026-03-06 13:00:00,-2.1673126,0.9593048,280.06802,288.1649,854.359,869.6421,100867.016,0.7319031,2.3841858e-06,45.5,9.25
2026-03-06 14:00:00,-2.1204987,0.59529114,279.49652,288.25592,869.5285,963.68994,100810.3,0.43566895,7.6293945e-06,45.5,9.25
2026-03-06 15:00:00,-1.9305725,0.8287811,279.3263,288.16364,817.4772,980.7315,100793.67,0.38427734,0.0,45.5,9.25
2026-03-06 16:00:00,-1.3007965,0.83680725,279.3191,287.5692,533.94684,1133.9819,100762.5,0.18676758,0.0,45.5,9.25
2026-03-06 17:00:00,-1.3255463,0.82336426,280.8388,285.64044,138.24834,1487.249,100796.625,0.071014404,0.0,45.5,9.25
2026-03-06 18:00:00,-1.6435852,1.1988983,279.4328,283.53027,63.597153,1427.4841,100836.766,0.04244995,0.0,45.5,9.25
2026-03-06 19:00:00,-1.6159515,1.079834,278.4729,282.52585,42.030975,1336.6809,100905.67,0.028747559,0.0,45.5,9.25
2026-03-06 20:00:00,-0.95266724,-0.11834717,277.95026,282.2926,24.885723,1416.6893,100959.19,0.027893066,0.0,45.5,9.25
2026-03-06 21:00:00,-0.7414551,-1.1135864,277.8418,282.46545,24.634724,1463.166,100989.3,0.036499023,0.0,45.5,9.25
2026-03-06 22:00:00,-0.9337921,-0.9451599,278.25784,280.67792,19.889862,1470.5333,100991.89,0.15838623,0.0,45.5,9.25
2026-03-06 23:00:00,-1.2564087,-1.0155792,277.86902,280.25986,20.427238,1430.2759,100980.734,0.25646973,0.0,45.5,9.25
2026-03-07 00:00:00,-0.43200684,-1.4422913,277.67487,280.3673,20.596985,1519.7118,101022.72,0.36224365,0.0,45.5,9.25
2026-03-07 01:00:00,0.22077942,-1.0736389,277.43802,280.01233,15.033684,1569.471,101024.0,0.59783936,0.0,45.5,9.25
2026-03-07 02:00:00,0.32139587,-0.7103424,277.18066,279.60608,13.082948,,100978.11,0.4584961,0.0,45.5,9.25
