time,PM25,Unit,T2M,U10,V10,SP,TP,BLH,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850
2026-03-02 14:00:00,32.120384,ug.m-3,286.0354,-2.044098,-0.85847473,100882.266,0.00022792816,616.0009,54962.945,15082.719,247.01453,274.92566,5.284973,3.4469452,-3.3796387,4.3185577
2026-03-02 15:00:00,25.965136,ug.m-3,286.1508,-2.146759,-1.2632141,100849.51,0.00041389465,444.48636,54973.4,15051.559,247.46718,274.86954,5.869568,2.6822357,-3.36734,3.7639618
2026-03-02 16:00:00,31.801483,ug.m-3,286.00333,-1.9331818,-0.7519989,100853.88,0.0005502701,388.72888,54987.75,15064.465,247.52786,274.99048,6.485855,2.0086823,-2.3356323,3.6915283
2026-03-02 17:00:00,36.669643,ug.m-3,285.01117,-1.856842,-0.17530823,100878.64,0.00012874603,202.49673,55001.254,15075.723,247.68082,274.8739,7.1606903,1.75914,-1.8210297,3.819107
2026-03-02 18:00:00,32.600994,ug.m-3,284.22504,-1.8947754,-0.10749817,100934.11,1.5735626e-05,105.78554,55049.363,15121.16,247.93506,274.9182,7.9878845,1.5935974,-1.9266205,3.246704
2026-03-02 19:00:00,33.381218,ug.m-3,283.66302,-1.8271179,-0.26507568,100975.875,9.536743e-07,98.15655,55087.996,15154.6875,248.20972,274.89362,8.542816,1.3527527,-2.5002594,2.7459106
2026-03-02 20:00:00,23.404364,ug.m-3,282.83307,-1.464508,-0.7254181,101011.56,2.861023e-06,72.75968,55113.44,15182.059,248.51836,274.73425,8.871384,1.0486755,-3.385727,2.2959442
2026-03-02 21:00:00,34.772335,ug.m-3,282.79633,-1.0827026,-0.8232422,101060.484,7.6293945e-06,60.497517,55145.773,15216.508,248.76308,274.5277,8.827896,0.7367401,-3.8793182,1.9425964
2026-03-02 22:00:00,35.416912,ug.m-3,282.84634,-1.5038605,-1.0529175,101068.7,2.1457672e-05,113.17547,55129.895,15224.4375,249.20996,274.8017,10.67453,0.32881165,-4.637924,0.95376587
2026-03-02 23:00:00,38.890724,ug.m-3,282.93292,-1.1995392,-0.79039,101104.7,2.2411346e-05,80.485596,55149.86,15250.375,249.05031,274.71106,11.371994,0.08276367,-5.1457367,1.2667999
