datetime,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path
2026-03-01 15:00:00,71.67479305058764,98.26325498211548,121.91752171691364,0.421169148124045,1.7009818211806091,27.956450575074523,data/raw/images/20260301-1600.jpg
2026-03-01 16:00:00,76.76610117526826,104.73450178845172,131.2964844149208,0.4211015303027364,1.7103445491494629,23.83393883047367,data/raw/images/20260301-1700.jpg
2026-03-01 17:00:00,100.23505365355136,133.56745017884518,166.4838170669392,0.403076033082577,1.6609340678504896,37.88039553456856,data/raw/images/20260301-1800.jpg
2026-03-01 18:00:00,82.7786050076648,103.163331630046,124.81724578436382,0.3457587640986989,1.5078442583679956,32.8944736691838,data/raw/images/20260301-1900.jpg
2026-03-01 19:00:00,83.97060296371998,102.94287174246296,125.610756259581,0.3414092459537539,1.495889636733492,33.363879668416324,data/raw/images/20260301-2000.jpg
2026-03-01 20:00:00,88.33043433827287,108.84453755748596,141.98027593254983,0.3804544101962778,1.6073766124758464,35.01025799065034,data/raw/images/20260301-2100.jpg
2026-03-01 21:00:00,87.66614205416454,103.14202350536536,128.6595298926929,0.3221125346034006,1.4676079659761077,24.90875007346542,data/raw/images/20260301-2200.jpg
2026-03-01 22:00:00,90.4367296882984,107.66044455799694,131.5825907000511,0.3155179533963063,1.4549684591492706,23.81845651267563,data/raw/images/20260301-2300.jpg
2026-03-03 03:00:00,84.34196729688298,98.3256974961676,119.3176954522228,0.2997897667786374,1.4146894821356977,24.782217543977737,data/raw/images/20260303-0400.jpg
2026-03-03 04:00:00,84.49674501788452,100.43779764946346,121.10865610628512,0.3081778460453107,1.4332937280289038,24.74391377357548,data/raw/images/20260303-0500.jpg
2026-03-03 05:00:00,86.156668369954,102.55843127235563,123.83253449156872,0.3102541107049792,1.4372948188124095,25.39031379051134,data/raw/images/20260303-0600.jpg
2026-03-03 06:00:00,107.79126213592232,140.79875319366377,171.63532447623913,0.3764639316134052,1.5922934705738712,29.47546148205942,data/raw/images/20260303-0700.jpg
2026-03-03 07:00:00,117.44938170669391,145.0461522738886,168.68350536535513,0.3129367013485898,1.4362230049910785,31.377433828632988,data/raw/images/20260303-0800.jpg
2026-03-03 08:00:00,127.92661216147164,157.35336228921818,180.96433827286663,0.3092380708150911,1.4145949290821112,38.161163416495015,data/raw/images/20260303-0900.jpg
2026-03-03 09:00:00,131.23301992846194,161.9392590700051,185.60518650996423,0.3101195325854993,1.414317716660213,40.5041747707796,data/raw/images/20260303-1000.jpg
2026-03-03 10:00:00,133.1161369443025,160.8522841083291,182.41981093510475,0.2938224290818248,1.370380885084208,45.76394344289924,data/raw/images/20260303-1100.jpg
2026-03-03 11:00:00,115.4776392437404,146.38006131834442,171.72472662238118,0.3464059443868672,1.487082055538364,40.375823802987334,data/raw/images/20260303-1200.jpg
2026-03-03 12:00:00,129.6919264179867,159.1993817066939,183.4011803781298,0.3102755793827746,1.4141294992636084,44.15587108806793,data/raw/images/20260303-1300.jpg
2026-03-03 13:00:00,99.58106285130302,130.13317833418498,156.26531425651507,0.3761245768654538,1.569227202571911,35.373772643926046,data/raw/images/20260303-1400.jpg
2026-03-03 14:00:00,117.77853346959633,147.14554931016863,169.94542667347983,0.3388649395972328,1.4429235975707442,51.34985358349128,data/raw/images/20260303-1500.jpg
2026-03-03 15:00:00,90.18494634644864,116.32602452733776,137.85978027593254,0.374083899571445,1.5286340385201906,42.374540046057184,data/raw/images/20260303-1600.jpg
2026-03-03 16:00:00,80.47283086356668,109.26185487991825,137.07834951456312,0.4359416604144034,1.7034115283399645,37.902489003426794,data/raw/images/20260303-1700.jpg
2026-03-03 17:00:00,86.38644353602453,124.54397547266224,163.20315789473685,0.4854505384492154,1.889221842284278,37.92777685070037,data/raw/images/20260303-1800.jpg
2026-03-03 18:00:00,83.42400613183445,102.9672866632601,122.04121614716402,0.331950040007788,1.462902830288445,34.635004322646544,data/raw/images/20260303-1900.jpg
2026-03-03 19:00:00,81.5755442003066,101.5526520183955,123.64038834951457,0.3519838226814163,1.5156550660607768,33.37450798530497,data/raw/images/20260303-2000.jpg
2026-03-03 20:00:00,81.5916351558508,100.71829330608074,122.65362289218191,0.3449516270785644,1.5032622051835964,31.461690824872644,data/raw/images/20260303-2100.jpg
2026-03-03 21:00:00,85.09628002043945,104.02745017884516,127.0443331630046,0.3379048428358552,1.4929481246364875,29.839760556224476,data/raw/images/20260303-2200.jpg
