time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-03 12:00:00,129.6938937148697,159.19922330097089,183.4026673479816,0.3102755399749088,1.4141195138845195,44.15548488928943,data\raw\images\20260303-1300.jpg,36.21797,ug.m-3,288.98547,282.34897,64.70353443063152,-0.6326599,0.5993042,101199.09,7.343292e-05,579.7104,0.5133667,823.4252,0.8714494094355966,55410.824,15364.254,248.92354,275.1056,10.908386,2.7580109,-3.3441925,0.37086487,14.4,158.0,66.0,0.8,3.2
2026-03-03 13:00:00,99.58212570260604,130.1320439448135,156.27021972406746,0.3761477401450199,1.5692597145545588,35.37286768076484,data\raw\images\20260303-1400.jpg,37.439793,ug.m-3,289.1101,281.88623,62.2178449865579,-0.6515808,0.470932,101123.83,4.5776367e-05,712.4572,0.6208496,871.4576,0.803949306581354,55391.12,15318.195,248.90968,275.30212,10.275848,2.5344696,-3.722412,0.28530884,14.8,193.0,64.7,0.9,3.6
2026-03-03 14:00:00,117.78008686765456,147.1451814001022,169.94755748594787,0.3388732844608438,1.4429226583436758,51.35092817893467,data\raw\images\20260303-1500.jpg,44.439285,ug.m-3,289.16003,281.85596,61.89308124852479,-0.7689972,0.22254944,101072.77,2.7656555e-05,758.4968,0.44158936,942.4362,0.8005529007205917,55387.2,15291.191,249.01195,275.48642,10.136536,1.7657013,-4.1723022,-0.22486877,15.6,173.0,60.2,0.9,3.8
2026-03-03 15:00:00,90.18540623403167,116.32605518650996,137.86055186509964,0.3740838184916758,1.528634799057354,42.37596208686019,data\raw\images\20260303-1600.jpg,37.522778,ug.m-3,289.1456,281.87164,62.01580634795146,-0.63705444,0.621933,101030.445,3.0040741e-05,655.12646,0.19128418,1019.97455,0.8903027664860497,55371.14,15265.891,249.13947,275.4448,10.096893,1.2184143,-4.4513245,-0.45140076,16.5,189.0,55.9,1.0,5.1
2026-03-03 16:00:00,80.47200817577925,109.26184466019416,137.07983648441493,0.4360061542796667,1.7034474208912098,37.90321968248184,data\raw\images\20260303-1700.jpg,28.243483,ug.m-3,288.6041,281.72327,63.560849108374974,-0.57247925,1.2481995,101028.05,3.8146973e-06,274.93097,0.23529053,1098.612,1.3732204788309894,55377.12,15270.773,249.1815,276.13223,10.134689,0.5276489,-4.2961884,-0.5764923,15.6,196.0,58.0,1.2,4.1
2026-03-03 17:00:00,86.38658661216147,124.54220235053654,163.20968829841595,0.4854873600456089,1.889294308407656,37.93042746520672,data\raw\images\20260303-1800.jpg,24.450586,ug.m-3,286.8083,282.84064,76.95299866319054,-0.6804199,1.4080505,101053.42,0.0,123.57883,0.25457764,1161.2357,1.563834214636021,55395.53,15286.027,249.1902,275.86548,10.288467,-0.06163025,-3.6773682,-0.64637756,14.8,201.0,62.1,1.3,3.3
2026-03-03 18:00:00,83.42201328564128,102.96532958610118,122.03876341338784,0.3300143973948246,1.4629083756659342,34.66368184173882,data\raw\images\20260303-1900.jpg,26.642273,ug.m-3,284.79968,281.49078,80.1408521825264,-0.97190857,1.1644897,101075.67,0.0,68.066345,0.2347107,1922.2693,1.51678690983458,55414.656,15294.84,249.21912,275.78995,10.6262665,-0.6998596,-3.1711884,-0.34414673,13.8,199.0,66.4,1.4,3.1
2026-03-03 19:00:00,81.57479305058763,101.55236075625956,123.62918753193664,0.3505376502376701,1.5155317150450849,33.40213150073802,data\raw\images\20260303-2000.jpg,34.27865,ug.m-3,283.16885,280.91486,85.8880673855208,-1.5738373,0.36260986,101137.53,0.0,49.59504,0.21478271,768.3188,1.6150695828479062,55447.207,15333.359,249.23293,275.7237,10.689194,-0.63679504,-3.0805817,0.35151672,13.2,165.0,71.1,0.7,2.9
2026-03-03 20:00:00,81.5881655595299,100.7173173224323,122.64605518650995,0.3436320864551715,1.503233377563677,31.48455523242708,data\raw\images\20260303-2100.jpg,29.505129,ug.m-3,282.5435,280.5407,87.30963233556572,-1.8140564,-0.04034424,101178.42,0.0,54.617073,0.2854309,662.87415,1.814504968326661,55452.254,15353.398,249.192,275.59634,10.429077,-0.18080139,-3.0351715,0.86442566,12.6,145.0,74.0,,2.3
2026-03-03 21:00:00,85.09644353602452,104.02430761369445,127.03180889115994,0.3369797060819807,1.4927980785070591,29.854171687042527,data\raw\images\20260303-2200.jpg,38.20701,ug.m-3,282.06845,280.28253,88.57089147357247,-1.7936707,-0.3558197,101221.01,0.0,63.486675,0.4390869,621.16943,1.828623044519176,55468.19,15377.551,249.12439,275.46222,10.17337,0.31951904,-2.7789764,1.068039,12.2,79.0,76.6,0.4,1.0
2026-03-03 22:00:00,86.77071538068472,105.30182422074604,129.76764435360246,0.3368407586382364,1.495523487258991,29.133616007438352,data\raw\images\20260303-2300.jpg,37.72245,ug.m-3,282.58405,280.6264,87.58299215851922,-2.1104279,-0.19078064,101198.34,4.7683716e-07,84.30472,0.59243774,600.96924,2.1190335470910364,55467.07,15370.715,248.92705,275.4997,11.090515,2.0290985,-3.5813751,1.646286,12.0,58.0,78.2,,1.2
