time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,PM25,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max,hour,day,weekday,month,hour_sin,hour_cos,is_daytime,wind_dir_sin,wind_dir_cos
2026-03-03 21:00:00,85.09644353602452,104.02430761369445,127.03180889115994,0.3369797060819807,1.4927980785070591,29.854171687042527,38.20701,282.06845,280.28253,88.57089147357247,-1.7936707,-0.3558197,101221.01,0.0,63.486675,0.4390869,621.16943,1.828623044519176,55468.19,15377.551,249.12439,275.46222,10.17337,0.31951904,-2.7789764,1.068039,12.2,79.0,76.6,0.4,1.0,21,3,1,3,-0.7071067811865477,0.7071067811865474,0,0.981627183447664,0.19080899537654492
2026-03-03 22:00:00,86.77071538068472,105.30182422074604,129.76764435360246,0.3368407586382364,1.495523487258991,29.133616007438352,37.72245,282.58405,280.6264,87.58299215851922,-2.1104279,-0.19078064,101198.34,4.7683716e-07,84.30472,0.59243774,600.96924,2.1190335470910364,55467.07,15370.715,248.92705,275.4997,11.090515,2.0290985,-3.5813751,1.646286,12.0,58.0,78.2,0.3666666666666667,1.2,22,3,1,3,-0.5000000000000004,0.8660254037844384,0,0.8480480961564261,0.5299192642332049
2026-03-04 03:00:00,83.8257741440981,99.72141032192133,120.5747266223812,0.3032914251701679,1.4383967987783106,16.89105746589143,40.82727,280.7835,279.16617,89.49669218908039,-1.0162354,-0.95225525,101157.13,4.7683716e-07,37.950806,0.7382202,434.82153,1.3926681045266034,55427.105,15298.328,249.05899,274.82825,10.19725,0.7706604,-2.1240845,0.82406616,10.2,37.0,87.0,0.3333333333333333,1.2,3,4,2,3,0.7071067811865476,0.7071067811865476,0,0.6018150231520483,0.7986355100472928
2026-03-04 04:00:00,88.61628513030148,103.33454266734796,125.6396678589678,0.2956191876978636,1.417794328169284,20.800681744899297,43.951904,280.57693,278.97797,89.59401836020604,-0.99458313,-0.24273682,101140.66,4.7683716e-07,28.107906,0.19210815,178.84036,1.023775740220635,55413.33,15276.988,249.08246,274.9478,9.613922,0.5904846,-2.5009613,0.97813416,9.7,344.0,89.3,0.3,1.6,4,4,2,3,0.8660254037844386,0.5000000000000001,0,-0.27563735581699894,0.9612616959383189
2026-03-04 05:00:00,89.65048032703118,102.73226877874298,124.04765457332653,0.2791312646469286,1.383680854102944,21.424451539564327,37.53336,280.12042,278.66956,90.48282902801442,-1.0180511,-0.047958374,101126.41,0.0,27.466356,0.22735596,198.4037,1.0191800860730815,55408.25,15261.68,249.11113,275.16776,8.908218,0.5454407,-2.4075928,0.7924652,9.3,86.0,90.9,0.4,0.9,5,4,2,3,0.9659258262890683,0.25881904510252074,0,0.9975640502598242,0.06975647374412523
2026-03-04 06:00:00,110.89252427184466,142.78926417986713,173.39620848237098,0.3652102669092071,1.563641986304336,30.656624842153462,44.1042,280.05728,278.60623,90.47705081344228,-1.0028839,-0.047943115,101157.53,0.0,27.798416,0.23782349,111.86107,1.0040292123016707,55431.19,15281.609,249.14757,275.14423,8.435242,0.35185242,-2.2783356,0.286438,9.2,6.0,91.7,0.5,1.6,6,4,2,3,1.0,6.123233995736766e-17,1,0.10452846326765347,0.9945218953682733
2026-03-04 07:00:00,109.90966274910578,141.6534031681145,172.68192641798672,0.3681785906753271,1.5711259640660271,29.95424602747281,42.36564,280.55756,278.77582,88.46604231608802,-0.71810913,-0.37669373,101176.125,0.0,29.494919,0.2616577,555.04297,0.8109123804768736,55432.086,15288.574,249.2033,275.00403,7.9765167,-0.13954163,-2.4356995,0.41560364,9.5,57.0,89.9,0.6,1.2,7,4,2,3,0.9659258262890683,-0.25881904510252063,1,0.838670567945424,0.5446390350150271
2026-03-04 08:00:00,106.74345937659685,137.40552376085844,164.51820132856412,0.3551003388638643,1.5412485294006284,27.339935319638755,48.26243,281.73727,279.18915,84.01681002076356,-0.8699188,-0.04437256,101236.37,9.536743e-07,237.4377,0.3692932,562.41974,0.8710497360509293,55477.996,15335.461,249.25217,274.99133,7.4960175,-0.117630005,-2.4893188,1.0082092,11.2,72.0,83.4,0.7,1.8,8,4,2,3,0.8660254037844387,-0.4999999999999998,1,0.9510565162951535,0.30901699437494745
2026-03-04 09:00:00,114.89879407256004,145.8627439959121,171.99191619826266,0.3376413875956234,1.496899215432569,31.18560604363336,57.0146,283.32043,279.70654,78.2750642585447,-0.9214325,0.06915283,101246.5,0.0,355.4194,0.46850586,611.4551,0.9240237907939702,55498.883,15353.8125,249.30132,275.06287,7.0594482,0.19667053,-2.538269,1.5762634,11.9,81.0,78.7,1.1,2.4,9,4,2,3,0.7071067811865476,-0.7071067811865475,1,0.9876883405951378,0.15643446504023092
2026-03-04 10:00:00,110.30289218191108,140.6479816044967,167.0406642820644,0.345339101668572,1.51438153128569,31.41945686842646,52.847588,285.02094,280.0418,71.55000429703054,-0.26522827,-0.35984802,101231.6,2.9563904e-05,545.39557,0.7555237,734.90106,0.4470309079975491,55531.883,15348.516,249.26482,274.9291,5.910614,1.6451111,-2.0259247,2.690567,12.7,60.0,72.8,0.6,2.1,10,4,2,3,0.49999999999999994,-0.8660254037844387,1,0.8660254037844386,0.5000000000000001
